wall_time_unix,elapsed_s,launcher_pid,ov2slam_pid,last_cpu,process_cpu_percent
1780229053.617,0.051,6260,6332,1,19.506
1780229053.669,0.103,6260,6332,1,0.000
1780229053.721,0.155,6260,6332,1,0.000
1780229053.822,0.256,6260,6332,1,9.895
1780229053.874,0.308,6260,6332,1,0.000
1780229053.925,0.360,6260,6332,1,0.000
1780229054.028,0.462,6260,6332,1,9.778
1780229054.080,0.514,6260,6332,1,0.000
1780229054.131,0.566,6260,6332,1,19.355
1780229054.183,0.617,6260,6332,1,0.000
1780229054.235,0.669,6260,6332,1,0.000
1780229054.286,0.721,6260,6332,1,0.000
1780229054.338,0.772,6260,6332,1,19.347
1780229054.390,0.824,6260,6332,1,0.000
1780229054.463,0.897,6260,6332,1,0.000
1780229054.514,0.949,6260,6332,1,19.318
1780229054.566,1.001,6260,6332,1,0.000
1780229054.618,1.053,6260,6332,1,0.000
1780229054.670,1.104,6260,6332,1,19.360
1780229054.722,1.156,6260,6332,1,0.000
1780229054.773,1.208,6260,6332,1,0.000
1780229054.825,1.260,6260,6332,1,19.295
1780229054.877,1.311,6260,6332,1,0.000
1780229054.976,1.411,6260,6332,1,0.000
1780229055.028,1.463,6260,6332,1,19.300
1780229055.080,1.514,6260,6332,1,0.000
1780229055.132,1.566,6260,6332,1,0.000
1780229055.183,1.618,6260,6332,1,0.000
1780229055.235,1.669,6260,6332,1,19.316
1780229055.287,1.721,6260,6332,1,0.000
1780229055.339,1.773,6260,6332,1,0.000
1780229055.390,1.825,6260,6332,1,0.000
1780229055.489,1.923,6260,6332,1,0.000
1780229055.541,1.975,6260,6332,1,38.607
1780229055.592,2.027,6260,6332,1,0.000
1780229055.644,2.078,6260,6332,1,0.000
1780229055.696,2.130,6260,6332,1,0.000
1780229055.747,2.182,6260,6332,1,0.000
1780229055.799,2.233,6260,6332,1,19.355
1780229055.851,2.285,6260,6332,1,0.000
1780229055.903,2.337,6260,6332,1,0.000
1780229055.954,2.389,6260,6332,1,0.000
1780229056.006,2.440,6260,6332,1,19.373
1780229056.058,2.492,6260,6332,1,0.000
1780229056.110,2.544,6260,6332,1,0.000
1780229056.161,2.596,6260,6332,1,0.000
1780229056.213,2.647,6260,6332,1,19.348
1780229056.265,2.699,6260,6332,1,0.000
1780229056.316,2.751,6260,6332,1,0.000
1780229056.368,2.803,6260,6332,1,0.000
1780229056.420,2.854,6260,6332,1,19.312
1780229056.472,2.906,6260,6332,1,0.000
1780229056.535,2.969,6260,6332,1,15.907
1780229056.586,3.021,6260,6332,1,0.000
1780229056.638,3.072,6260,6332,1,0.000
1780229056.690,3.124,6260,6332,1,19.294
1780229056.742,3.176,6260,6332,1,0.000
1780229056.842,3.276,6260,6332,1,0.000
1780229056.894,3.328,6260,6332,1,0.000
1780229056.946,3.380,6260,6332,1,0.000
1780229056.997,3.432,6260,6332,1,19.303
1780229057.049,3.483,6260,6332,1,0.000
1780229057.101,3.535,6260,6332,1,19.304
1780229057.153,3.587,6260,6332,1,0.000
1780229057.205,3.639,6260,6332,1,19.128
1780229057.257,3.691,6260,6332,1,0.000
1780229057.357,3.791,6260,6332,1,9.994
1780229057.410,3.844,6260,6332,1,0.000
1780229057.462,3.896,6260,6332,1,19.105
1780229057.514,3.949,6260,6332,1,0.000
1780229057.578,4.013,6260,6332,1,0.000
1780229057.631,4.066,6260,6332,1,18.760
1780229057.684,4.118,6260,6332,1,0.000
1780229057.738,4.172,6260,6332,1,0.000
1780229057.790,4.224,6260,6332,1,19.122
1780229057.890,4.324,6260,6332,1,0.000
1780229057.942,4.377,6260,6332,1,19.061
1780229057.995,4.429,6260,6332,1,0.000
1780229058.048,4.482,6260,6332,1,0.000
1780229058.110,4.545,6260,6332,1,15.999
1780229058.163,4.597,6260,6332,1,0.000
1780229058.215,4.649,6260,6332,1,19.162
1780229058.270,4.704,6260,6332,1,18.122
1780229058.322,4.757,6260,6332,1,0.000
1780229058.375,4.809,6260,6332,1,0.000
1780229058.427,4.861,6260,6332,1,0.000
1780229058.479,4.914,6260,6332,1,0.000
1780229058.532,4.966,6260,6332,1,19.155
1780229058.584,5.018,6260,6332,1,19.080
1780229058.636,5.071,6260,6332,1,0.000
1780229058.689,5.123,6260,6332,1,19.079
1780229058.741,5.175,6260,6332,1,0.000
1780229058.794,5.228,6260,6332,1,0.000
1780229058.846,5.280,6260,6332,1,19.138
1780229058.946,5.380,6260,6332,1,0.000
1780229058.998,5.432,6260,6332,1,19.067
1780229059.050,5.485,6260,6332,1,0.000
