wall_time_unix,elapsed_s,launcher_pid,ov2slam_pid,last_cpu,process_cpu_percent
1780232041.996,0.051,15357,15429,1,0.000
1780232042.048,0.103,15357,15429,1,0.000
1780232042.100,0.155,15357,15429,1,19.264
1780232042.152,0.207,15357,15429,1,19.261
1780232042.204,0.259,15357,15429,1,0.000
1780232042.255,0.311,15357,15429,1,0.000
1780232042.307,0.362,15357,15429,1,0.000
1780232042.359,0.414,15357,15429,1,19.346
1780232042.411,0.466,15357,15429,1,0.000
1780232042.462,0.518,15357,15429,1,0.000
1780232042.514,0.569,15357,15429,1,0.000
1780232042.566,0.621,15357,15429,1,0.000
1780232042.618,0.673,15357,15429,1,19.285
1780232042.669,0.725,15357,15429,1,0.000
1780232042.721,0.777,15357,15429,1,0.000
1780232042.773,0.828,15357,15429,1,0.000
1780232042.825,0.880,15357,15429,1,0.000
1780232042.876,0.932,15357,15429,1,19.369
1780232042.928,0.984,15357,15429,1,0.000
1780232042.980,1.035,15357,15429,1,19.339
1780232043.032,1.087,15357,15429,1,0.000
1780232043.083,1.139,15357,15429,1,0.000
1780232043.187,1.242,15357,15429,1,9.645
1780232043.239,1.294,15357,15429,1,0.000
1780232043.291,1.346,15357,15429,1,0.000
1780232043.342,1.398,15357,15429,1,19.303
1780232043.394,1.449,15357,15429,1,0.000
1780232043.446,1.501,15357,15429,1,0.000
1780232043.498,1.553,15357,15429,1,19.310
1780232043.549,1.605,15357,15429,1,0.000
1780232043.601,1.657,15357,15429,1,0.000
1780232043.703,1.758,15357,15429,1,9.816
1780232043.755,1.810,15357,15429,1,0.000
1780232043.806,1.862,15357,15429,1,0.000
1780232043.858,1.914,15357,15429,1,0.000
1780232043.910,1.965,15357,15429,1,19.356
1780232043.962,2.017,15357,15429,1,19.231
1780232044.014,2.069,15357,15429,1,0.000
1780232044.066,2.121,15357,15429,1,0.000
1780232044.117,2.173,15357,15429,1,0.000
1780232044.169,2.224,15357,15429,1,0.000
1780232044.221,2.276,15357,15429,1,0.000
1780232044.272,2.328,15357,15429,1,19.306
1780232044.324,2.379,15357,15429,1,19.356
1780232044.376,2.431,15357,15429,1,0.000
1780232044.428,2.483,15357,15429,1,0.000
1780232044.531,2.587,15357,15429,1,9.645
1780232044.583,2.638,15357,15429,1,0.000
1780232044.635,2.690,15357,15429,1,0.000
1780232044.686,2.742,15357,15429,1,0.000
1780232044.738,2.794,15357,15429,1,0.000
1780232044.790,2.845,15357,15429,1,0.000
1780232044.842,2.897,15357,15429,1,19.351
1780232044.893,2.949,15357,15429,1,0.000
1780232044.945,3.001,15357,15429,1,0.000
1780232045.048,3.103,15357,15429,1,9.752
1780232045.100,3.155,15357,15429,1,19.308
1780232045.151,3.207,15357,15429,1,0.000
1780232045.203,3.258,15357,15429,1,0.000
1780232045.255,3.310,15357,15429,1,0.000
1780232045.306,3.362,15357,15429,1,19.303
1780232045.358,3.414,15357,15429,1,0.000
1780232045.422,3.477,15357,15429,1,0.000
1780232045.473,3.529,15357,15429,1,19.311
1780232045.526,3.581,15357,15429,1,0.000
1780232045.578,3.633,15357,15429,1,0.000
1780232045.631,3.687,15357,15429,1,18.795
1780232045.694,3.750,15357,15429,1,0.000
1780232045.747,3.802,15357,15429,1,0.000
1780232045.799,3.854,15357,15429,1,19.112
1780232045.851,3.907,15357,15429,1,0.000
1780232045.904,3.959,15357,15429,1,19.106
1780232045.956,4.012,15357,15429,1,0.000
1780232046.030,4.086,15357,15429,1,13.543
1780232046.083,4.138,15357,15429,1,0.000
1780232046.135,4.190,15357,15429,1,19.125
1780232046.187,4.243,15357,15429,1,0.000
1780232046.251,4.307,15357,15429,1,15.653
1780232046.305,4.360,15357,15429,1,0.000
1780232046.357,4.413,15357,15429,1,0.000
1780232046.411,4.467,15357,15429,1,18.484
1780232046.464,4.519,15357,15429,1,19.122
1780232046.565,4.620,15357,15429,1,0.000
1780232046.617,4.673,15357,15429,1,19.012
1780232046.670,4.725,15357,15429,1,0.000
1780232046.722,4.778,15357,15429,1,0.000
1780232046.786,4.841,15357,15429,1,15.689
1780232046.839,4.894,15357,15429,1,0.000
1780232046.891,4.946,15357,15429,1,0.000
1780232046.990,5.045,15357,15429,1,10.140
1780232047.042,5.098,15357,15429,1,0.000
1780232047.094,5.150,15357,15429,1,38.211
1780232047.147,5.202,15357,15429,1,0.000
1780232047.211,5.266,15357,15429,1,0.000
1780232047.263,5.319,15357,15429,1,19.050
1780232047.316,5.371,15357,15429,1,0.000
1780232047.368,5.423,15357,15429,1,0.000
1780232047.420,5.476,15357,15429,1,19.118
1780232047.519,5.574,15357,15429,1,0.000
1780232047.572,5.627,15357,15429,1,18.946
1780232047.624,5.680,15357,15429,1,0.000
1780232047.677,5.732,15357,15429,1,18.957
1780232047.729,5.785,15357,15429,1,0.000
1780232047.782,5.838,15357,15429,1,0.000
1780232047.835,5.890,15357,15429,1,0.000
1780232047.888,5.943,15357,15429,1,37.534
1780232047.940,5.996,15357,15429,1,0.000
1780232048.040,6.096,15357,15429,1,10.011
1780232048.093,6.148,15357,15429,1,0.000
1780232048.145,6.201,15357,15429,1,0.000
1780232048.198,6.253,15357,15429,1,19.047
1780232048.260,6.315,15357,15429,1,0.000
1780232048.312,6.368,15357,15429,1,19.051
1780232048.365,6.420,15357,15429,1,0.000
1780232048.421,6.476,15357,15429,1,17.878
1780232048.473,6.528,15357,15429,1,0.000
1780232048.570,6.625,15357,15429,1,0.000
