wall_time_unix,elapsed_s,launcher_pid,ov2slam_pid,tid,comm,last_cpu,thread_cpu_percent
1780232041.996,0.051,15357,15429,15429,ov2slam_node,1,0.000
1780232041.996,0.051,15357,15429,15430,ov2slam_nod-ust,0,0.000
1780232041.996,0.051,15357,15429,15431,ov2slam_nod-ust,3,0.000
1780232041.996,0.051,15357,15429,15432,ov2slam_node,0,0.000
1780232041.996,0.051,15357,15429,15433,ov2slam_node,3,0.000
1780232041.996,0.051,15357,15429,15434,gc,0,0.000
1780232041.996,0.051,15357,15429,15435,dq.builtins,3,0.000
1780232041.996,0.051,15357,15429,15436,dq.user,0,0.000
1780232041.996,0.051,15357,15429,15437,tev,3,0.000
1780232041.996,0.051,15357,15429,15438,recv,0,0.000
1780232041.996,0.051,15357,15429,15439,recvUC,3,0.000
1780232041.996,0.051,15357,15429,15440,ov2slam_node,3,0.000
1780232041.996,0.051,15357,15429,15441,ov2slam_node,0,0.000
1780232041.996,0.051,15357,15429,15442,ov2_map,3,0.000
1780232041.996,0.051,15357,15429,15443,ov2_est,3,0.000
1780232041.996,0.051,15357,15429,15444,ov2_main,0,0.000
1780232041.996,0.051,15357,15429,15445,ov2_lc,3,0.000
1780232041.996,0.051,15357,15429,15446,ov2_feed,0,0.000
1780232042.048,0.103,15357,15429,15429,ov2slam_node,1,0.000
1780232042.048,0.103,15357,15429,15430,ov2slam_nod-ust,0,0.000
1780232042.048,0.103,15357,15429,15431,ov2slam_nod-ust,3,0.000
1780232042.048,0.103,15357,15429,15432,ov2slam_node,0,0.000
1780232042.048,0.103,15357,15429,15433,ov2slam_node,3,0.000
1780232042.048,0.103,15357,15429,15434,gc,0,0.000
1780232042.048,0.103,15357,15429,15435,dq.builtins,3,0.000
1780232042.048,0.103,15357,15429,15436,dq.user,0,0.000
1780232042.048,0.103,15357,15429,15437,tev,3,0.000
1780232042.048,0.103,15357,15429,15438,recv,0,0.000
1780232042.048,0.103,15357,15429,15439,recvUC,3,0.000
1780232042.048,0.103,15357,15429,15440,ov2slam_node,3,0.000
1780232042.048,0.103,15357,15429,15441,ov2slam_node,0,0.000
1780232042.048,0.103,15357,15429,15442,ov2_map,3,0.000
1780232042.048,0.103,15357,15429,15443,ov2_est,3,0.000
1780232042.048,0.103,15357,15429,15444,ov2_main,0,0.000
1780232042.048,0.103,15357,15429,15445,ov2_lc,3,0.000
1780232042.048,0.103,15357,15429,15446,ov2_feed,0,0.000
1780232042.100,0.155,15357,15429,15429,ov2slam_node,1,0.000
1780232042.100,0.155,15357,15429,15430,ov2slam_nod-ust,0,0.000
1780232042.100,0.155,15357,15429,15431,ov2slam_nod-ust,3,0.000
1780232042.100,0.155,15357,15429,15432,ov2slam_node,0,0.000
1780232042.100,0.155,15357,15429,15433,ov2slam_node,3,0.000
1780232042.100,0.155,15357,15429,15434,gc,0,0.000
1780232042.100,0.155,15357,15429,15435,dq.builtins,0,0.000
1780232042.100,0.155,15357,15429,15436,dq.user,0,0.000
1780232042.100,0.155,15357,15429,15437,tev,3,0.000
1780232042.100,0.155,15357,15429,15438,recv,0,0.000
1780232042.100,0.155,15357,15429,15439,recvUC,3,0.000
1780232042.100,0.155,15357,15429,15440,ov2slam_node,3,0.000
1780232042.100,0.155,15357,15429,15441,ov2slam_node,0,0.000
1780232042.100,0.155,15357,15429,15442,ov2_map,3,0.000
1780232042.100,0.155,15357,15429,15443,ov2_est,3,0.000
1780232042.100,0.155,15357,15429,15444,ov2_main,0,0.000
1780232042.100,0.155,15357,15429,15445,ov2_lc,3,0.000
1780232042.100,0.155,15357,15429,15446,ov2_feed,0,0.000
1780232042.152,0.207,15357,15429,15429,ov2slam_node,1,0.000
1780232042.152,0.207,15357,15429,15430,ov2slam_nod-ust,0,0.000
1780232042.152,0.207,15357,15429,15431,ov2slam_nod-ust,3,0.000
1780232042.152,0.207,15357,15429,15432,ov2slam_node,0,0.000
1780232042.152,0.207,15357,15429,15433,ov2slam_node,3,0.000
1780232042.152,0.207,15357,15429,15434,gc,0,0.000
1780232042.152,0.207,15357,15429,15435,dq.builtins,0,0.000
1780232042.152,0.207,15357,15429,15436,dq.user,0,0.000
1780232042.152,0.207,15357,15429,15437,tev,3,0.000
1780232042.152,0.207,15357,15429,15438,recv,0,0.000
1780232042.152,0.207,15357,15429,15439,recvUC,3,0.000
1780232042.152,0.207,15357,15429,15440,ov2slam_node,3,0.000
1780232042.152,0.207,15357,15429,15441,ov2slam_node,0,0.000
1780232042.152,0.207,15357,15429,15442,ov2_map,3,0.000
1780232042.152,0.207,15357,15429,15443,ov2_est,3,0.000
1780232042.152,0.207,15357,15429,15444,ov2_main,3,0.000
1780232042.152,0.207,15357,15429,15445,ov2_lc,3,0.000
1780232042.152,0.207,15357,15429,15446,ov2_feed,2,0.000
1780232042.204,0.259,15357,15429,15429,ov2slam_node,1,0.000
1780232042.204,0.259,15357,15429,15430,ov2slam_nod-ust,0,0.000
1780232042.204,0.259,15357,15429,15431,ov2slam_nod-ust,3,0.000
1780232042.204,0.259,15357,15429,15432,ov2slam_node,0,0.000
1780232042.204,0.259,15357,15429,15433,ov2slam_node,3,0.000
1780232042.204,0.259,15357,15429,15434,gc,0,0.000
1780232042.204,0.259,15357,15429,15435,dq.builtins,0,0.000
1780232042.204,0.259,15357,15429,15436,dq.user,0,0.000
1780232042.204,0.259,15357,15429,15437,tev,3,0.000
1780232042.204,0.259,15357,15429,15438,recv,0,0.000
